Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Region,Payment Method,Sales Revenue
10001,1/1/2024,Electronics,iPhone 14 Pro,2,999.99,North America,Credit Card,1999.98
10002,1/2/2024,Home Appliances,Dyson V11 Vacuum,1,499.99,Europe,PayPal,499.99
10003,1/3/2024,Clothing,Levi's 501 Jeans,3,69.99,Asia,Debit Card,209.97
10004,1/4/2024,Books,The Da Vinci Code,4,15.99,North America,Credit Card,63.96
10005,1/5/2024,Beauty Products,Neutrogena Skincare Set,1,89.99,Europe,PayPal,89.99
10006,1/6/2024,Sports,Wilson Evolution Basketball,5,29.99,Asia,Credit Card,149.95
10007,1/7/2024,Electronics,MacBook Pro 16-inch,1,2499.99,North America,Credit Card,2499.99
10008,1/8/2024,Home Appliances,Blueair Classic 480i,2,599.99,Europe,PayPal,1199.98
10009,1/9/2024,Clothing,Nike Air Force 1,6,89.99,Asia,Debit Card,539.94
10010,1/10/2024,Books,Dune by Frank Herbert,2,25.99,North America,Credit Card,51.98
10011,1/11/2024,Beauty Products,Chanel No. 5 Perfume,1,129.99,Europe,PayPal,129.99
10012,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,199.99,Asia,Credit Card,599.97
10013,1/13/2024,Electronics,Samsung Galaxy Tab S8,2,749.99,North America,Credit Card,1499.98
10014,1/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,Europe,PayPal,189.99
10015,1/15/2024,Clothing,North Face Down Jacket,2,249.99,Asia,Debit Card,499.98
10016,1/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,35.99,North America,Credit Card,107.97
10017,1/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,Europe,PayPal,399.99
10018,1/18/2024,Sports,Manduka PRO Yoga Mat,4,119.99,Asia,Credit Card,479.96
10019,1/19/2024,Electronics,Garmin Forerunner 945,2,499.99,North America,Credit Card,999.98
10020,1/20/2024,Home Appliances,Ninja Professional Blender,1,99.99,Europe,PayPal,99.99
10021,1/21/2024,Clothing,Zara Summer Dress,3,59.99,Asia,Debit Card,179.97
10022,1/22/2024,Books,Gone Girl by Gillian Flynn,2,22.99,North America,Credit Card,45.98
10023,1/23/2024,Beauty Products,Olay Regenerist Face Cream,1,49.99,Europe,PayPal,49.99
10024,1/24/2024,Sports,Adidas FIFA World Cup Football,3,29.99,Asia,Credit Card,89.97
10025,1/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,299.99,North America,Credit Card,299.99
10026,1/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,Europe,PayPal,179.99
10027,1/27/2024,Clothing,Adidas Ultraboost Shoes,2,179.99,Asia,Debit Card,359.98
10028,1/28/2024,Books,Pride and Prejudice by Jane Austen,3,12.99,North America,Credit Card,38.97
10029,1/29/2024,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,Europe,PayPal,29.99
10030,1/30/2024,Sports,Nike Air Zoom Pegasus 37,2,129.99,Asia,Credit Card,259.98
10031,1/31/2024,Electronics,Sony WH-1000XM4 Headphones,2,349.99,North America,Credit Card,699.98
10032,2/1/2024,Home Appliances,Instant Pot Duo,3,89.99,Europe,PayPal,269.97
10033,2/2/2024,Clothing,Under Armour HeatGear T-Shirt,5,29.99,Asia,Debit Card,149.95
10034,2/3/2024,Books,1984 by George Orwell,4,19.99,North America,Credit Card,79.96
10035,2/4/2024,Beauty Products,L'Oreal Revitalift Serum,2,39.99,Europe,PayPal,79.98
10036,2/5/2024,Sports,Peloton Bike,1,1895,Asia,Credit Card,1895
10037,2/6/2024,Electronics,Apple Watch Series 8,3,399.99,North America,Credit Card,1199.97
10038,2/7/2024,Home Appliances,Roomba i7+,2,799.99,Europe,PayPal,1599.98
10039,2/8/2024,Clothing,Columbia Fleece Jacket,4,59.99,Asia,Debit Card,239.96
10040,2/9/2024,Books,Harry Potter and the Sorcerer's Stone,3,24.99,North America,Credit Card,74.97
10041,2/10/2024,Beauty Products,Estee Lauder Advanced Night Repair,1,105,Europe,PayPal,105
10042,2/11/2024,Sports,Fitbit Charge 5,2,129.99,Asia,Credit Card,259.98
10043,2/12/2024,Electronics,GoPro HERO10 Black,3,399.99,North America,Credit Card,1199.97
10044,2/13/2024,Home Appliances,Nespresso VertuoPlus,1,199.99,Europe,PayPal,199.99
10045,2/14/2024,Clothing,Patagonia Better Sweater,2,139.99,Asia,Debit Card,279.98
10046,2/15/2024,Books,Becoming by Michelle Obama,4,32.5,North America,Credit Card,130
10047,2/16/2024,Beauty Products,Clinique Moisture Surge,1,52,Europe,PayPal,52
10048,2/17/2024,Sports,Yeti Rambler Tumbler,6,39.99,Asia,Credit Card,239.94
10049,2/18/2024,Electronics,Kindle Paperwhite,2,129.99,North America,Credit Card,259.98
10050,2/19/2024,Home Appliances,Breville Smart Oven,1,299.99,Europe,PayPal,299.99
10051,2/20/2024,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,Asia,Debit Card,464.97
10052,2/21/2024,Books,The Silent Patient by Alex Michaelides,2,26.99,North America,Credit Card,53.98
10053,2/22/2024,Beauty Products,Shiseido Ultimate Sun Protector,1,49,Europe,PayPal,49
10054,2/23/2024,Sports,Titleist Pro V1 Golf Balls,5,49.99,Asia,Credit Card,249.95
10055,2/24/2024,Electronics,Anker PowerCore Portable Charger,4,59.99,North America,Credit Card,239.96
10056,2/25/2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,Europe,PayPal,499.99
10057,2/26/2024,Clothing,Calvin Klein Boxer Briefs,5,29.99,Asia,Debit Card,149.95
10058,2/27/2024,Books,Educated by Tara Westover,3,28,North America,Credit Card,84
10059,2/28/2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23,Europe,PayPal,46
10060,2/29/2024,Sports,Hyperice Hypervolt Massager,1,349,Asia,Credit Card,349
10061,3/1/2024,Electronics,Nintendo Switch,3,299.99,North America,Credit Card,899.97
10062,3/2/2024,Home Appliances,Philips Airfryer XXL,2,199.99,Europe,PayPal,399.98
10063,3/3/2024,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,Asia,Debit Card,99.9
10064,3/4/2024,Books,Where the Crawdads Sing by Delia Owens,4,18.99,North America,Credit Card,75.96
10065,3/5/2024,Beauty Products,Lancome La Vie Est Belle,1,102,Europe,PayPal,102
10066,3/6/2024,Sports,Garmin Edge 530,2,299.99,Asia,Credit Card,599.98
10067,3/7/2024,Electronics,Samsung QLED 4K TV,1,1199.99,North America,Credit Card,1199.99
10068,3/8/2024,Home Appliances,Eufy RoboVac 11S,3,219.99,Europe,PayPal,659.97
10069,3/9/2024,Clothing,Puma Suede Classic Sneakers,4,59.99,Asia,Debit Card,239.96
10070,3/10/2024,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,North America,Credit Card,21.98
10071,3/11/2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78,Europe,PayPal,78
10072,3/12/2024,Sports,Nike Metcon 6,3,129.99,Asia,Credit Card,389.97
10073,3/13/2024,Electronics,HP Spectre x360 Laptop,1,1599.99,North America,Credit Card,1599.99
10074,3/14/2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,Europe,PayPal,899.99
10075,3/15/2024,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,Asia,Debit Card,249.95
10076,3/16/2024,Books,To Kill a Mockingbird by Harper Lee,4,14.99,North America,Credit Card,59.96
10077,3/17/2024,Beauty Products,Glossier Boy Brow,2,16,Europe,PayPal,32
10078,3/18/2024,Sports,Rogue Fitness Kettlebell,3,69.99,Asia,Credit Card,209.97
10079,3/19/2024,Electronics,Apple AirPods Pro,2,249.99,North America,Credit Card,499.98
10080,3/20/2024,Home Appliances,Dyson Pure Cool Link,1,499.99,Europe,PayPal,499.99
10081,3/21/2024,Clothing,Levi's Trucker Jacket,2,89.99,Asia,Debit Card,179.98
10082,3/22/2024,Books,The Hobbit by J.R.R. Tolkien,3,12.99,North America,Credit Card,38.97
10083,3/23/2024,Beauty Products,Charlotte Tilbury Magic Cream,1,100,Europe,PayPal,100
10084,3/24/2024,Sports,Spalding NBA Street Basketball,6,24.99,Asia,Credit Card,149.94
10085,3/25/2024,Electronics,Ring Video Doorbell,1,99.99,North America,Credit Card,99.99
10086,3/26/2024,Home Appliances,LG OLED TV,2,1299.99,Europe,PayPal,2599.98
10087,3/27/2024,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,Asia,Debit Card,239.97
10088,3/28/2024,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,North America,Credit Card,55.96
10089,3/29/2024,Beauty Products,Sunday Riley Good Genes,1,105,Europe,PayPal,105
10090,3/30/2024,Sports,On Running Cloud Shoes,2,129.99,Asia,Credit Card,259.98
10091,3/31/2024,Electronics,Logitech MX Master 3 Mouse,2,99.99,North America,Credit Card,199.98
10092,4/1/2024,Home Appliances,Instant Pot Duo Crisp,1,179.99,Europe,PayPal,179.99
10093,4/2/2024,Clothing,Adidas Originals Superstar Sneakers,4,79.99,Asia,Debit Card,319.96
10094,4/3/2024,Books,The Alchemist by Paulo Coelho,3,14.99,North America,Credit Card,44.97
10095,4/4/2024,Beauty Products,Tatcha The Water Cream,1,68,Europe,PayPal,68
10096,4/5/2024,Sports,Garmin Fenix 6X Pro,1,999.99,Asia,Credit Card,999.99
10097,4/6/2024,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,North America,Credit Card,899.97
10098,4/7/2024,Home Appliances,Vitamix Explorian Blender,1,349.99,Europe,PayPal,349.99
10099,4/8/2024,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,Asia,Debit Card,119.94
10100,4/9/2024,Books,The Power of Now by Eckhart Tolle,2,12.99,North America,Credit Card,25.98
10101,4/10/2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82,Europe,PayPal,82
10102,4/11/2024,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,Asia,Credit Card,219.98
10103,4/12/2024,Electronics,Canon EOS R5 Camera,1,3899.99,North America,Credit Card,3899.99
10104,4/13/2024,Home Appliances,Shark IQ Robot Vacuum,2,349.99,Europe,PayPal,699.98
10105,4/14/2024,Clothing,H&M Slim Fit Jeans,3,39.99,Asia,Debit Card,119.97
10106,4/15/2024,Books,The Girl on the Train by Paula Hawkins,4,10.99,North America,Credit Card,43.96
10107,4/16/2024,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,Europe,PayPal,6.5
10108,4/17/2024,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,Asia,Credit Card,399.99
10109,4/18/2024,Electronics,Google Nest Hub Max,2,229.99,North America,Credit Card,459.98
10110,4/19/2024,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,Europe,PayPal,159.99
10111,4/20/2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,Asia,Debit Card,59.96
10112,4/21/2024,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,North America,Credit Card,37.98
10113,4/22/2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15,Europe,PayPal,15
10114,4/23/2024,Sports,Fitbit Versa 3,3,229.95,Asia,Credit Card,689.85
10115,4/24/2024,Electronics,Amazon Echo Show 10,1,249.99,North America,Credit Card,249.99
10116,4/25/2024,Home Appliances,Breville Smart Grill,2,299.95,Europe,PayPal,599.9
10117,4/26/2024,Clothing,Gap High Rise Skinny Jeans,3,49.99,Asia,Debit Card,149.97
10118,4/27/2024,Books,Atomic Habits by James Clear,4,16.99,North America,Credit Card,67.96
10119,4/28/2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,Europe,PayPal,29.98
10120,4/29/2024,Sports,YETI Hopper Flip Portable Cooler,1,249.99,Asia,Credit Card,249.99
10121,4/30/2024,Electronics,Apple iPad Air,2,599.99,North America,Credit Card,1199.98
10122,5/1/2024,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,Europe,PayPal,89.99
10123,5/2/2024,Clothing,Forever 21 Graphic Tee,5,12.99,Asia,Debit Card,64.95
10124,5/3/2024,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,North America,Credit Card,44.97
10125,5/4/2024,Beauty Products,NARS Radiant Creamy Concealer,1,30,Europe,PayPal,30
10126,5/5/2024,Sports,Yeti Roadie 24 Cooler,1,199.99,Asia,Credit Card,199.99
10127,5/6/2024,Electronics,Sony PlayStation 5,1,499.99,North America,Credit Card,499.99
10128,5/7/2024,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,Europe,PayPal,799.98
10129,5/8/2024,Clothing,Lululemon Align Leggings,3,98,Asia,Debit Card,294
10130,5/9/2024,Books,The Four Agreements by Don Miguel Ruiz,2,8.99,North America,Credit Card,17.98
10131,5/10/2024,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36,Europe,PayPal,36
10132,5/11/2024,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,Asia,Credit Card,159.8
10133,5/12/2024,Electronics,Microsoft Surface Laptop 4,1,1299.99,North America,Credit Card,1299.99
10134,5/13/2024,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,Europe,PayPal,159.98
10135,5/14/2024,Clothing,Gap Crewneck Sweatshirt,4,34.99,Asia,Debit Card,139.96
10136,5/15/2024,Books,Think and Grow Rich by Napoleon Hill,3,9.99,North America,Credit Card,29.97
10137,5/16/2024,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,Europe,PayPal,6.8
10138,5/17/2024,Sports,Fitbit Inspire 2,2,99.95,Asia,Credit Card,199.9
10139,5/18/2024,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1499.99,North America,Credit Card,1499.99
10140,5/19/2024,Home Appliances,Instant Pot Ultra,1,139.99,Europe,PayPal,139.99
10141,5/20/2024,Clothing,Adidas Essential Track Pants,3,44.99,Asia,Debit Card,134.97
10142,5/21/2024,Books,The Power of Habit by Charles Duhigg,2,11.99,North America,Credit Card,23.98
10143,5/22/2024,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,Europe,PayPal,29.5
10144,5/23/2024,Sports,YETI Tundra 45 Cooler,1,299.99,Asia,Credit Card,299.99
10145,5/24/2024,Electronics,Apple AirPods Max,1,549,North America,Credit Card,549
10146,5/25/2024,Home Appliances,Cuisinart Coffee Center,2,199.95,Europe,PayPal,399.9
10147,5/26/2024,Clothing,Levi's Sherpa Trucker Jacket,2,98,Asia,Debit Card,196
10148,5/27/2024,Books,The Outsiders by S.E. Hinton,3,10.99,North America,Credit Card,32.97
10149,5/28/2024,Beauty Products,Laneige Water Sleeping Mask,1,25,Europe,PayPal,25
10150,5/29/2024,Sports,Bose SoundSport Wireless Earbuds,2,149.99,Asia,Credit Card,299.98
10151,5/30/2024,Electronics,Sony WH-1000XM4 Headphones,1,349.99,North America,Credit Card,349.99
10152,5/31/2024,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,Europe,PayPal,399.98
10153,6/1/2024,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,Asia,Debit Card,164.97
10154,6/2/2024,Books,The Night Circus by Erin Morgenstern,2,16.99,North America,Credit Card,33.98
10155,6/3/2024,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59,Europe,PayPal,59
10156,6/4/2024,Sports,Garmin Forerunner 245,1,299.99,Asia,Credit Card,299.99
10157,6/5/2024,Electronics,Google Pixel 6 Pro,1,899.99,North America,Credit Card,899.99
10158,6/6/2024,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,Europe,PayPal,499.95
10159,6/7/2024,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,Asia,Debit Card,99.96
10160,6/8/2024,Books,The Art of War by Sun Tzu,3,7.99,North America,Credit Card,23.97
10161,6/9/2024,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36,Europe,PayPal,36
10162,6/10/2024,Sports,TriggerPoint GRID Foam Roller,2,34.99,Asia,Credit Card,69.98
10163,6/11/2024,Electronics,Apple MacBook Air,1,1199.99,North America,Credit Card,1199.99
10164,6/12/2024,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,Europe,PayPal,199.99
10165,6/13/2024,Clothing,Adidas 3-Stripes Shorts,5,29.99,Asia,Debit Card,149.95
10166,6/14/2024,Books,The Hunger Games by Suzanne Collins,4,8.99,North America,Credit Card,35.96
10167,6/15/2024,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,Europe,PayPal,16.99
10168,6/16/2024,Sports,Yeti Rambler Bottle,3,49.99,Asia,Credit Card,149.97
10169,6/17/2024,Electronics,Samsung Odyssey G7 Gaming Monitor,1,699.99,North America,Credit Card,699.99
10170,6/18/2024,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,Europe,PayPal,279.98
10171,6/19/2024,Clothing,Nike Tempo Running Shorts,3,34.99,Asia,Debit Card,104.97
10172,6/20/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,9.99,North America,Credit Card,19.98
10173,6/21/2024,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,Europe,PayPal,29.5
10174,6/22/2024,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,699.99,Asia,Credit Card,699.99
10175,6/23/2024,Electronics,Amazon Fire TV Stick 4K,3,49.99,North America,Credit Card,149.97
10176,6/24/2024,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,Europe,PayPal,99.98
10177,6/25/2024,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,Asia,Debit Card,59.6
10178,6/26/2024,Books,The Sun Also Rises by Ernest Hemingway,3,11.99,North America,Credit Card,35.97
10179,6/27/2024,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34,Europe,PayPal,68
10180,6/28/2024,Sports,Oakley Holbrook Sunglasses,1,146,Asia,Credit Card,146
10181,6/29/2024,Electronics,Google Pixelbook Go,1,649.99,North America,Credit Card,649.99
10182,6/30/2024,Home Appliances,Dyson V8 Absolute,1,399.99,Europe,PayPal,399.99
10183,7/1/2024,Clothing,Levi's 511 Slim Fit Jeans,3,59.99,Asia,Debit Card,179.97
10184,7/2/2024,Books,The Martian by Andy Weir,2,12.99,North America,Credit Card,25.98
10185,7/3/2024,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190,Europe,PayPal,190
10186,7/4/2024,Sports,Polar Vantage V2,1,499.95,Asia,Credit Card,499.95
10187,7/5/2024,Electronics,Sonos Beam Soundbar,1,399,North America,Credit Card,399
10188,7/6/2024,Home Appliances,Anova Precision Cooker,2,199,Europe,PayPal,398
10189,7/7/2024,Clothing,Nike Dri-FIT Training Shorts,4,34.99,Asia,Debit Card,139.96
10190,7/8/2024,Books,The Catcher in the Rye by J.D. Salinger,3,10.99,North America,Credit Card,32.97
10191,7/9/2024,Beauty Products,Glossier Cloud Paint,1,18,Europe,PayPal,18
10192,7/10/2024,Sports,TRX All-in-One Suspension Training System,1,169.95,Asia,Credit Card,169.95
10193,7/11/2024,Electronics,Logitech G Pro X Wireless Gaming Headset,1,199.99,North America,Credit Card,199.99
10194,7/12/2024,Home Appliances,Breville Smart Coffee Grinder Pro,1,199.95,Europe,PayPal,199.95
10195,7/13/2024,Clothing,Adidas Ultraboost Running Shoes,2,179.99,Asia,Debit Card,359.98
10196,7/14/2024,Books,The Road by Cormac McCarthy,2,11.99,North America,Credit Card,23.98
10197,7/15/2024,Beauty Products,Tom Ford Black Orchid Perfume,1,125,Europe,PayPal,125
10198,7/16/2024,Sports,GoPro HERO9 Black,1,449.99,Asia,Credit Card,449.99
10199,7/17/2024,Electronics,Apple TV 4K,2,179,North America,Credit Card,358
10200,7/18/2024,Home Appliances,Instant Pot Duo Nova,1,99.95,Europe,PayPal,99.95
10201,7/19/2024,Clothing,Gap 1969 Original Fit Jeans,3,59.99,Asia,Debit Card,179.97
10202,7/20/2024,Books,The Goldfinch by Donna Tartt,2,14.99,North America,Credit Card,29.98
10203,7/21/2024,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52,Europe,PayPal,52
10204,7/22/2024,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,399.99,Asia,Credit Card,399.99
10205,7/23/2024,Electronics,Samsung Galaxy Watch 4,1,299.99,North America,Credit Card,299.99
10206,7/24/2024,Home Appliances,KitchenAid Stand Mixer,1,379.99,Europe,PayPal,379.99
10207,7/25/2024,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98,Asia,Debit Card,196
10208,7/26/2024,Books,The Great Alone by Kristin Hannah,3,16.99,North America,Credit Card,50.97
10209,7/27/2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79,Europe,PayPal,79
10210,7/28/2024,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129,Asia,Credit Card,129
10211,7/29/2024,Electronics,Canon EOS Rebel T7i DSLR Camera,1,749.99,North America,Credit Card,749.99
10212,7/30/2024,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,Europe,PayPal,339.98
10213,7/31/2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,Asia,Debit Card,39.6
10214,8/1/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,10.99,North America,Credit Card,32.97
10215,8/2/2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29,Europe,PayPal,58
10216,8/3/2024,Sports,YETI Tundra 65 Cooler,1,349.99,Asia,Credit Card,349.99
10217,8/4/2024,Electronics,Apple MacBook Pro 16-inch,1,2399,North America,Credit Card,2399
10218,8/5/2024,Home Appliances,iRobot Braava Jet M6,1,449.99,Europe,PayPal,449.99
10219,8/6/2024,Clothing,Champion Reverse Weave Hoodie,3,49.99,Asia,Debit Card,149.97
10220,8/7/2024,Books,The Nightingale by Kristin Hannah,2,12.99,North America,Credit Card,25.98
10221,8/8/2024,Beauty Products,Tarte Shape Tape Concealer,1,27,Europe,PayPal,27
10222,8/9/2024,Sports,Garmin Forerunner 945,1,599.99,Asia,Credit Card,599.99
10223,8/10/2024,Electronics,Amazon Echo Dot (4th Gen),4,49.99,North America,Credit Card,199.96
10224,8/11/2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,229.99,Europe,PayPal,459.98
10225,8/12/2024,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,44.99,Asia,Debit Card,89.98
10226,8/13/2024,Books,The Silent Patient by Alex Michaelides,3,26.99,North America,Credit Card,80.97
10227,8/14/2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,Europe,PayPal,6.7
10228,8/15/2024,Sports,Fitbit Luxe,2,149.95,Asia,Credit Card,299.9
10229,8/16/2024,Electronics,Google Nest Wifi Router,1,169,North America,Credit Card,169
10230,8/17/2024,Home Appliances,Anova Precision Oven,1,599,Europe,PayPal,599
10231,8/18/2024,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,Asia,Debit Card,259.96
10232,8/19/2024,Books,Dune by Frank Herbert,2,9.99,North America,Credit Card,19.98
10233,8/20/2024,Beauty Products,Fresh Sugar Lip Treatment,1,24,Europe,PayPal,24
10234,8/21/2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,Asia,Credit Card,98.85
10235,8/22/2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299,North America,Credit Card,299
10236,8/23/2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,159.99,Europe,PayPal,159.99
10237,8/24/2024,Clothing,Nike Air Force 1 Sneakers,3,90,Asia,Debit Card,270
10238,8/25/2024,Books,The Handmaid's Tale by Margaret Atwood,3,10.99,North America,Credit Card,32.97
10239,8/26/2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55,Europe,PayPal,55
10240,8/27/2024,Sports,Yeti Rambler 20 oz Tumbler,2,29.99,Asia,Credit Card,59.98
